value_0,value_1,value_2,value_3,value_4,value_5,value_6,value_7,value_8,age,gender,education,reading,years_gaming,gaming_per_week,familiarity
5,5,7,2,5,1,1,7,4,29,0,1,0,0,2,2
5,5,7,8,4,1,1,3,4,25,1,2,1,0,2,2
5,7,3,8,5,0,0,5,4,22,1,1,1,0,0,1
4,5,7,8,4,0,0,3,4,28,0,3,1,0,0,0
5,5,7,8,5,4,4,5,4,35,0,1,1,0,2,3
5,6,3,8,4,0,0,5,4,22,2,1,1,0,1,3
4,6,8,8,4,4,1,3,4,18,3,0,0,0,1,3
5,5,5,3,5,4,4,5,5,29,4,1,1,0,3,0
5,7,3,3,5,1,4,5,4,25,1,2,1,0,2,3
5,7,3,3,4,0,0,3,4,24,0,2,1,0,1,2
4,3,7,1,4,1,0,3,4,18,0,0,1,0,0,1